AmaCatID	AmaPath	WowCatID_candidate	WowPath	score	decision_reason	comment
1064	Books/Arts & Photography/History & Criticism	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.526	needs_review_l2map	
1104	Books/Arts & Photography/Individual Artists	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.542	needs_review_l2map	
1474	Books/Arts & Photography/Performing Arts/Dance	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.532	needs_review_l2map	
1476	Books/Arts & Photography/Performing Arts/Dance/Genres/Ballroom	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.504	needs_review_l2map	
1513	Books/Arts & Photography/Performing Arts/Dance/Genres/Folk & Regional	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.504	needs_review_l2map	
1515	Books/Arts & Photography/Performing Arts/Dance/Genres/Jazz	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.515	needs_review_l2map	
1516	Books/Arts & Photography/Performing Arts/Dance/Genres/Modern	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.509	needs_review_l2map	
1517	Books/Arts & Photography/Performing Arts/Dance/Notation	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.514	needs_review_l2map	
1518	Books/Arts & Photography/Performing Arts/Dance/Genres/Popular	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.537	needs_review_l2map	
1519	Books/Arts & Photography/Performing Arts/Dance/Reference	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.527	needs_review_l2map	
1521	Books/Arts & Photography/Performing Arts/Dance/Genres/Tap	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.518	needs_review_l2map	
1525	Books/Arts & Photography/Collections, Catalogs & Exhibitions	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.495	needs_review_l2map	
1747	Books/Arts & Photography/Music/Musical Genres/Opera/General	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.576	needs_review_l2map	
1764	Books/Arts & Photography/Music/Instruments	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.550	needs_review_l2map	
1765	Books/Arts & Photography/Music/Instruments/Brass	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.520	needs_review_l2map	
1766	Books/Arts & Photography/Music/Instruments/General	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.514	needs_review_l2map	
1767	Books/Arts & Photography/Music/Instruments/Guitar	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.517	needs_review_l2map	
1768	Books/Arts & Photography/Music/Instruments/Percussion	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.575	needs_review_l2map	
1770	Books/Arts & Photography/Music/Instruments/Strings	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.585	needs_review_l2map	
1771	Books/Arts & Photography/Music/Instruments/Voice	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.520	needs_review_l2map	
1772	Books/Arts & Photography/Music/Instruments/Woodwinds	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.510	needs_review_l2map	
1779	Books/Arts & Photography/Music/Musical Genres/International	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.593	needs_review_l2map	
1780	Books/Arts & Photography/Music/Ethnomusicology	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.512	needs_review_l2map	
1783	Books/Arts & Photography/Music/Musical Genres/International/Salsa	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.581	needs_review_l2map	
1784	Books/Arts & Photography/Music/Musical Genres/International/World Beat	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.556	needs_review_l2map	
1798	Books/Arts & Photography/Music/Musical Genres/Religious & Sacred Music	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.569	needs_review_l2map	
1799	Books/Arts & Photography/Music/Musical Genres/Religious & Sacred Music/Christian	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.533	needs_review_l2map	
1801	Books/Arts & Photography/Music/Musical Genres/Gospel	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.592	needs_review_l2map	
1803	Books/Arts & Photography/Music/Musical Genres/Religious & Sacred Music/Jewish	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.541	needs_review_l2map	
1804	Books/Arts & Photography/Music/Musical Genres/Religious & Sacred Music/Muslim	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.541	needs_review_l2map	
1809	Books/Arts & Photography/Music/Reference	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.534	needs_review_l2map	
1820	Books/Arts & Photography/Music/Songbooks/Folk & Traditional	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.508	needs_review_l2map	
1821	Books/Arts & Photography/Music/Songbooks	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.554	needs_review_l2map	
1822	Books/Arts & Photography/Music/Musical Genres/Opera/Songbooks	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.582	needs_review_l2map	
1823	Books/Arts & Photography/Music/Songbooks/Orchestral	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.560	needs_review_l2map	
1835	Books/Arts & Photography/Business of Art	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.542	needs_review_l2map	
1836	Books/Arts & Photography/Study & Teaching	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.538	needs_review_l2map	
1839	Books/Arts & Photography/Drawing/Cartooning	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.515	needs_review_l2map	
1848	Books/Arts & Photography/Other Media/Conceptual	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.510	needs_review_l2map	
1852	Books/Arts & Photography/Decorative Arts & Design/Furniture Design	550404	本・コミック・雑誌/アート・建築・デザイン/作品集	0.587	needs_review_l2map	
1855	Books/Arts & Photography/Drawing	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.568	needs_review_l2map	
1857	Books/Arts & Photography/Drawing/General	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.526	needs_review_l2map	
1861	Books/Arts & Photography/Drawing/Specific Objects	550407	本・コミック・雑誌/アート・建築・デザイン/彫刻・工芸	0.589	needs_review_l2map	
1868	Books/Arts & Photography/Other Media/Mixed Media	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.489	needs_review_l2map	
1869	Books/Arts & Photography/Other Media/Mosaic	550401	本・コミック・雑誌/アート・建築・デザイン/その他アート・建築・デザイン	0.511	needs_review_l2map	
1873	Books/Arts & Photography/Religious	550402	本・コミック・雑誌/アート・建築・デザイン/デザイン	0.568	needs_review_l2map	
2019	Books/Arts & Photography/Painting/Watercolor	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.588	needs_review_l2map	
2020	Books/Arts & Photography/Photography & Video	550405	本・コミック・雑誌/アート・建築・デザイン/写真	0.534	needs_review_l2map	
2023	Books/Arts & Photography/Photography & Video/Cinematography	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.506	needs_review_l2map	
2024	Books/Arts & Photography/Photography & Video/Collections, Catalogues & Exhibitions	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.469	needs_review_l2map	
2025	Books/Arts & Photography/Photography & Video/Equipment, Techniques & Reference/Color	550406	本・コミック・雑誌/アート・建築・デザイン/建築	0.467	needs_review_l2map	
2026	Books/Arts & Photography/Photography & Video/Business & Careers	550401	本・コミック・雑誌/アート・建築・デザイン/その他アート・建築・デザイン	0.512	needs_review_l2map	
2027	Books/Arts & Photography/Photography & Video/Criticism & Essays	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.500	needs_review_l2map	
2029	Books/Arts & Photography/Photography & Video/Erotic Photography	550408	本・コミック・雑誌/アート・建築・デザイン/絵画	0.494	needs_review_l2map	
