AmaCatID	AmaPath	WowCatID_candidate	WowPath	score	decision_reason	comment
1821	Musical Instruments/Scores, Songbooks & Lyrics	563205	楽器・音響機器/弦楽器/ハープ	0.691	level2_fallback_l2map	
172463	Electronics/Accessories & Supplies/Cables/Computer	5301	家電/その他家電	0.444	level2_fallback_l2map	
172526	Electronics/GPS, Finders & Accessories	336411	カー用品・バイク用品/カー用品/芳香剤・消臭剤	0.492	level2_fallback_l2map	
172607	Electronics/Accessories & Supplies/Telephone Accessories	5301	家電/その他家電	0.404	level2_fallback_l2map	
172623	Electronics/Portable Audio & Video	44010607	テレビ・オーディオ・カメラ/オーディオ/ラジオ/卓上ラジオ	0.470	level2_fallback_l2map	
228899	Tools & Home Improvement/Paint, Wall Treatments & Supplies	59260103	花・ガーデン・DIY工具/DIY工具/大工道具・用品/ヤスリ	0.608	level2_fallback_l2map	
229535	Software/Business & Office	460605	パソコン・PC周辺機器/ソフトウェア/ビジネス	0.609	level2_fallback_l2map	
229548	Software/Children's	460509	パソコン・PC周辺機器/キーボード・マウス・入力機器/マウス	0.505	level2_fallback_l2map	
229563	Software/Education & Reference	460906	パソコン・PC周辺機器/プリンター・インク/スキャナー	0.493	level2_fallback_l2map	
229575	Video Games/PC	3705	ゲーム機・ゲームソフト/PCゲーム	0.638	level2_fallback_l2map	
229624	Software/Lifestyle & Hobbies	460905	パソコン・PC周辺機器/プリンター・インク/オフィス用プリンター・コピー機	0.483	level2_fallback_l2map	
229647	Video Games/Mac	3705	ゲーム機・ゲームソフト/PCゲーム	0.706	level2_fallback_l2map	
229653	Software/Operating Systems	460906	パソコン・PC周辺機器/プリンター・インク/スキャナー	0.562	level2_fallback_l2map	
229672	Software/Utilities	460607	パソコン・PC周辺機器/ソフトウェア/ユーティリティ	0.594	level2_fallback_l2map	
229677	Software/Antivirus & Security	460509	パソコン・PC周辺機器/キーボード・マウス・入力機器/マウス	0.501	level2_fallback_l2map	
284507	Home & Kitchen/Kitchen & Dining	350618	キッチン・食器・調理/キッチン用品・キッチン雑貨/ミトン・鍋つかみ	0.518	level2_fallback_l2map	
290542	Software/Video	460202	パソコン・PC周辺機器/PCケーブル/IDEケーブル	0.510	level2_fallback_l2map	
294940	Video Games/Legacy Systems	37181304	ゲーム機・ゲームソフト/旧世代ゲーム機/ファミコン/ファミコン本体	0.681	level2_fallback_l2map	
464394	Electronics/Accessories & Supplies/Cables/Computer/USB Cables	5301	家電/その他家電	0.400	level2_fallback_l2map	
495224	Tools & Home Improvement/Lighting & Ceiling Fans	311305	インテリア・寝具/ライト・照明/フットライト	0.718	level2_fallback_l2map	
495236	Patio, Lawn & Garden/Outdoor Lighting	592611	花・ガーデン・DIY工具/DIY工具/シート	0.657	level2_fallback_l2map	
495266	Tools & Home Improvement/Electrical	592611	花・ガーデン・DIY工具/DIY工具/シート	0.581	level2_fallback_l2map	
497022	Software/Music	460509	パソコン・PC周辺機器/キーボード・マウス・入力機器/マウス	0.511	level2_fallback_l2map	
502394	Electronics/Camera & Photo	440205	テレビ・オーディオ・カメラ/カメラ/ストロボ	0.569	level2_fallback_l2map	
510106	Home & Kitchen/Vacuums & Floor Care	3503	キッチン・食器・調理/やかん・ケトル	0.555	level2_fallback_l2map	
510240	Home & Kitchen/Irons & Steamers	530202	家電/アイロン/アイロン台	0.490	level2_fallback_l2map	
511228	Tools & Home Improvement/Hardware	59260403	花・ガーデン・DIY工具/DIY工具/作業工具/レンチ	0.562	level2_fallback_l2map	
541966	Electronics/Computers & Accessories	460110	パソコン・PC周辺機器/PCアクセサリ・サプライ/マウスパッド	0.456	level2_fallback_l2map	
551240	Tools & Home Improvement/Building Supplies	592703	花・ガーデン・DIY工具/建築・住宅・設備/配管・排水設備	0.514	level2_fallback_l2map	
551242	Patio, Lawn & Garden/Outdoor Power Tools	592609	花・ガーデン・DIY工具/DIY工具/脚立・はしご・作業台	0.577	level2_fallback_l2map	
552808	Patio, Lawn & Garden/Generators & Portable Power	59260327	花・ガーデン・DIY工具/DIY工具/電動工具/発電機・ポータブル電源	0.440	level2_fallback	
553244	Tools & Home Improvement/Measuring & Layout Tools	59260602	花・ガーデン・DIY工具/DIY工具/ネジ・ボルト・素材/ボルト	0.554	level2_fallback_l2map	
553760	Patio, Lawn & Garden/Grills & Outdoor Cooking	352055	キッチン・食器・調理/調理道具・下ごしらえ用品/釜	0.454	level2_fallback_l2map	
553788	Patio, Lawn & Garden/Outdoor Décor	592505	花・ガーデン・DIY工具/エクステリア/日除け・シェード・カバー	0.575	level2_fallback_l2map	
553824	Patio, Lawn & Garden/Patio Furniture & Accessories	59250301	花・ガーデン・DIY工具/エクステリア/庭まわり/フェンス・垣	0.541	level2_fallback_l2map	
559942	Electronics/Accessories & Supplies/GPS System Accessories	5301	家電/その他家電	0.400	level2_fallback_l2map	
764464	Electronics/Accessories & Supplies/Cables/GPS	5301	家電/その他家電	0.467	level2_fallback_l2map	
901590	Home & Kitchen/Event & Party Supplies	291503	おもちゃ・趣味/パーティーグッズ/パーティーゲーム	0.544	level2_fallback_l2map	
1063236	Home & Kitchen/Bath	540522	日用品・文房具・手芸用品/バス・お風呂用品/浴槽・浴室内マット	0.463	level2_fallback_l2map	
1063252	Home & Kitchen/Bedding	311611	インテリア・寝具/寝具/抱き枕	0.669	level2_fallback_l2map	
1063278	Home & Kitchen/Home Décor Products	310404	インテリア・寝具/インテリア小物・置物/ゴミ箱	0.436	level2_fallback_l2map	
1063306	Home & Kitchen/Furniture	31141001	インテリア・寝具/収納家具/押入れ収納/すのこ	0.463	level2_fallback_l2map	
1069102	Office Products/Office Furniture & Lighting	310503	インテリア・寝具/オフィス家具/テーブル（応接・会議・ロビー）	0.418	level2_fallback_l2map	
1069242	Office Products/Office & School Supplies	541104	日用品・文房具・手芸用品/文房具・事務用品・画材/のり	0.656	level2_fallback_l2map	
3043471	Patio, Lawn & Garden/Snow Removal	59260602	花・ガーデン・DIY工具/DIY工具/ネジ・ボルト・素材/ボルト	0.579	level2_fallback_l2map	
3386071	Sports & Outdoors/Fan Shop	4009	スポーツ・アウトドア/その他のスポーツ	0.707	level2_fallback_l2map	
3394801	Sports & Outdoors/Sports & Outdoor Recreation Accessories	404414	スポーツ・アウトドア/体育館・グラウンド用品/拡声器・メガホン	0.579	level2_fallback_l2map	
3394981	Sports & Outdoors/Sports/Team Sports/Other Team Sports/Track & Field/Meet Equipment/Cones	4009	スポーツ・アウトドア/その他のスポーツ	0.429	level2_fallback_l2map	
3395111	Sports & Outdoors/Sports/Airsoft	4009	スポーツ・アウトドア/その他のスポーツ	0.726	level2_fallback_l2map	
3395141	Sports & Outdoors/Sports/Airsoft/BBs	4009	スポーツ・アウトドア/その他のスポーツ	0.673	level2_fallback_l2map	
3395751	Sports & Outdoors/Sports/Team Sports/Baseball/Accessories/Equipment Bags	4009	スポーツ・アウトドア/その他のスポーツ	0.483	level2_fallback_l2map	
3395811	Sports & Outdoors/Sports/Team Sports/Baseball/Field Equipment	4009	スポーツ・アウトドア/その他のスポーツ	0.520	level2_fallback_l2map	
3395821	Sports & Outdoors/Sports/Team Sports/Baseball/Field Equipment/Bases & Pitching Rubbers/Standard Bases	4009	スポーツ・アウトドア/その他のスポーツ	0.404	level2_fallback_l2map	
3395831	Sports & Outdoors/Sports/Team Sports/Baseball/Training Equipment/Batting Tees	4009	スポーツ・アウトドア/その他のスポーツ	0.462	level2_fallback_l2map	
3395871	Sports & Outdoors/Sports/Team Sports/Baseball/Field Equipment/Bases & Pitching Rubbers/Pitching Rubbers	4009	スポーツ・アウトドア/その他のスポーツ	0.400	level2_fallback_l2map	
3395881	Sports & Outdoors/Sports/Team Sports/Baseball/Field Equipment/Protective Screens	4009	スポーツ・アウトドア/その他のスポーツ	0.451	level2_fallback_l2map	
3395901	Sports & Outdoors/Sports/Team Sports/Baseball/Accessories/Bat Accessories/Bat Racks	4009	スポーツ・アウトドア/その他のスポーツ	0.448	level2_fallback_l2map	
3395921	Sports & Outdoors/Sports/Team Sports/Baseball/Baseballs	4009	スポーツ・アウトドア/その他のスポーツ	0.545	level2_fallback_l2map	
3395951	Sports & Outdoors/Sports/Team Sports/Baseball/Starter Balls & Bats/Plastic Balls	4009	スポーツ・アウトドア/その他のスポーツ	0.456	level2_fallback_l2map	
3396121	Sports & Outdoors/Sports/Team Sports/Baseball/Training Equipment/Fungo & Training Bats	4009	スポーツ・アウトドア/その他のスポーツ	0.446	level2_fallback_l2map	
3396131	Sports & Outdoors/Sports/Team Sports/Baseball/Starter Balls & Bats/Plastic Bats	4009	スポーツ・アウトドア/その他のスポーツ	0.459	level2_fallback_l2map	
3396151	Sports & Outdoors/Sports/Team Sports/Baseball/Starter Balls & Bats/T-Ball Bats	4009	スポーツ・アウトドア/その他のスポーツ	0.462	level2_fallback_l2map	
3396161	Sports & Outdoors/Sports/Team Sports/Baseball/Batting Gloves	4009	スポーツ・アウトドア/その他のスポーツ	0.524	level2_fallback_l2map	
3396211	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts	4009	スポーツ・アウトドア/その他のスポーツ	0.524	level2_fallback_l2map	
3396221	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Catcher's Mitts	4009	スポーツ・アウトドア/その他のスポーツ	0.462	level2_fallback_l2map	
3396231	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/First Baseman's Mitts	4009	スポーツ・アウトドア/その他のスポーツ	0.446	level2_fallback_l2map	
3396241	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Infielder's Mitts	4009	スポーツ・アウトドア/その他のスポーツ	0.456	level2_fallback_l2map	
3396261	Sports & Outdoors/Sports/Team Sports/Baseball/Accessories/Mitt Accessories	4009	スポーツ・アウトドア/その他のスポーツ	0.480	level2_fallback_l2map	
3396311	Sports & Outdoors/Sports/Team Sports/Baseball/Baseball Mitts/Outfielder's Mitts	4009	スポーツ・アウトドア/その他のスポーツ	0.454	level2_fallback_l2map	
