AmaPath第一階層	AmaPath第二階層	WowPath第一階層	WowPath第二階層
# Musical Instruments → 楽器・音響機器
Musical Instruments	Guitars	楽器・音響機器	ギター
Musical Instruments	Bass Guitars	楽器・音響機器	ベース
Musical Instruments	Drums & Percussion	楽器・音響機器	ドラム・パーカッション
Musical Instruments	Keyboard Instruments	楽器・音響機器	キーボード・ピアノ
Musical Instruments	Keyboards & MIDI	楽器・音響機器	キーボード・ピアノ
Musical Instruments	Pianos & Keyboards	楽器・音響機器	キーボード・ピアノ
Musical Instruments	Wind & Woodwind Instruments	楽器・音響機器	管楽器
Musical Instruments	Brass Instruments	楽器・音響機器	管楽器
Musical Instruments	Stringed Instruments	楽器・音響機器	弦楽器
Musical Instruments	Ukuleles, Mandolins & Banjos	楽器・音響機器	弦楽器
Musical Instruments	Studio Recording Equipment	楽器・音響機器	DTM・レコーディング・PA機器
Musical Instruments	Live Sound & Stage	楽器・音響機器	DTM・レコーディング・PA機器
Musical Instruments	Recording Equipment	楽器・音響機器	DTM・レコーディング・PA機器
Musical Instruments	Electronic Music, DJ & Karaoke	楽器・音響機器	DJ＆VJ機材
Musical Instruments	DJ Equipment	楽器・音響機器	DJ＆VJ機材
Musical Instruments	Amplifiers & Effects	楽器・音響機器	エフェクター
Musical Instruments	Instrument Accessories	楽器・音響機器	その他楽器・音響機器
Musical Instruments	General Accessories & Apparel	楽器・音響機器	その他楽器・音響機器
Musical Instruments	Microphones	楽器・音響機器	DTM・レコーディング・PA機器
Musical Instruments	PA Systems	楽器・音響機器	DTM・レコーディング・PA機器
# Sports & Outdoors → スポーツ・アウトドア
Sports & Outdoors	Hunting & Fishing	スポーツ・アウトドア	フィッシング
Sports & Outdoors	Fishing	スポーツ・アウトドア	フィッシング
Sports & Outdoors	Outdoor Recreation	スポーツ・アウトドア	アウトドア
Sports & Outdoors	Camping & Hiking	スポーツ・アウトドア	アウトドア
Sports & Outdoors	Cycling	スポーツ・アウトドア	自転車
Sports & Outdoors	Sports	スポーツ・アウトドア	その他のスポーツ
Sports & Outdoors	Fan Shop	スポーツ・アウトドア	その他のスポーツ
Sports & Outdoors	Exercise & Fitness	ダイエット・健康	ダイエット
Sports & Outdoors	Sports & Fitness	ダイエット・健康	ダイエット
# Electronics → 複数カテゴリ
Electronics	Camera & Photo	テレビ・オーディオ・カメラ	カメラ
Electronics	Home Audio	テレビ・オーディオ・カメラ	オーディオ
Electronics	Television & Video	テレビ・オーディオ・カメラ	テレビ本体
Electronics	Portable Audio & Video	テレビ・オーディオ・カメラ	オーディオ
Electronics	Headphones	テレビ・オーディオ・カメラ	ヘッドホン・イヤホン
Electronics	Cell Phones & Accessories	スマホ・タブレット・モバイル通信	スマホアクセサリー
Electronics	Computers & Accessories	パソコン・PC周辺機器	PCアクセサリ・サプライ
Electronics	Accessories & Supplies	家電	その他家電
Electronics	Office Electronics	家電	オフィス家電・電子文具
Electronics	Wearable Technology	スマホ・タブレット・モバイル通信	ウェアラブルデバイス
Electronics	eBook Readers & Accessories	スマホ・タブレット・モバイル通信	電子書籍リーダーアクセサリー
Electronics	GPS, Finders & Accessories	カー用品・バイク用品	カー用品
Electronics	Car & Vehicle Electronics	カー用品・バイク用品	カー用品
Electronics	Security & Surveillance	家電	その他家電
# Grocery & Gourmet Food → グルメ・食品
Grocery & Gourmet Food	Pantry Staples	グルメ・食品	惣菜・食材
Grocery & Gourmet Food	Produce	グルメ・食品	野菜・きのこ
Grocery & Gourmet Food	Meat & Seafood	グルメ・食品	魚介類・シーフード
Grocery & Gourmet Food	Frozen	グルメ・食品	惣菜・食材
Grocery & Gourmet Food	Snacks & Sweets	スイーツ・お菓子	スナック菓子・駄菓子
Grocery & Gourmet Food	Breads & Bakery	グルメ・食品	パン・ジャム・シリアル
Grocery & Gourmet Food	Deli & Prepared Foods	グルメ・食品	惣菜・食材
Grocery & Gourmet Food	Beverages	水・ソフトドリンク・お茶	ソフトドリンク
Grocery & Gourmet Food	Dairy, Eggs & Plant-Based Alternatives	グルメ・食品	チーズ・乳製品
Grocery & Gourmet Food	Home Brewing & Winemaking	ビール・ワイン・お酒	リキュール
Grocery & Gourmet Food	Alcoholic Beverages	ビール・ワイン・お酒	リキュール
Grocery & Gourmet Food	Baby Foods	キッズベビー・マタニティ	ベビー
Grocery & Gourmet Food	Breakfast Foods	グルメ・食品	パン・ジャム・シリアル
Grocery & Gourmet Food	Breakfast Cereal	グルメ・食品	パン・ジャム・シリアル
# Health & Household → 複数カテゴリ
Health & Household	Medical Supplies & Equipment	医療・介護・医薬品	衛生医療品
Health & Household	Personal Care	ビューティ・コスメ	ボディケア
